X,y
today  amid the covid 19 pandemic  the trump backed lawsuit to dismantle the aca enters a new phase  if trump and republican ags succeed  it ll mean devastation for our health care system that will cause untold pain and suffering  we can t let that happen  ,fake
as at 09 30 pm 9th april there are 288 confirmed cases 51 discharged 7 deaths for more info   lagos  158 fct  54 osun  20 edo  12 oyo  11 bauchi  6 akwa ibom  5 ogun  4 kaduna  5 enugu  2 ekiti  2 rivers 2 kwara  2 delta  2 benue  1 ondo  1 katsina 1,real
1645 deaths were reported today bringing the total in our dataset to 81729  this does not include 5054 probable deaths recorded by nyc but not published by new york state nor does it address excess mortality as reported by the cdc here   ,real
video of a man spitting in the face of another man in the new york subway to spread the coronavirus,fake
since then the number of covid19 cases has increased more than fivefold to 17 5 million and the number of deaths has more than tripled to 680000 drtedros ,real
rt  drharshvardhan  i informed the member states that laboratory capacity for testing samples for sars   n cov2 using rt   pcr technique wa ,real
as of 18 august 2020 8am till now there have been a total of 4687 covid19 positive cases  amp  17 co vid 19 related deaths in manipur co vid 19 co vid 19 covid19 india co vid updates corona updates corona coronavirus coronavirus india coronavirus updates coronavirus pandemic ,real
a big part of the american story is the slow easing of the outbreak in new york  new york deaths represent an ever smaller number of the total daily deaths  where new york once represented half of a day s death toll it is now down to 30  ,real
prolonged use of masks causes lack of oxygenation ,fake
in pennsylvania actions taken over the past two weeks including shutting down thousands of businesses and issuing a  stay at home  order for 19 counties are essential to thwarting worst case scenarios and reducing future deaths  ,real
cbs aired wrong video footage of a coronavirus hospital ,fake
more states should release hospitalization rates  this is crucial data that the public deserves to know  we re glad oregon reversed its decision to drop hospitalization data reporting  the public needs all available information  ,real
acc to  mohfw india guidelines if there are 1 2 covid19 cases reported there is no need to close entire office building halt work in other areas of the office  amp  work can be resumed after disinfection as per laid down protocol   1 4  ,real
there are still 8 active cases and no one in hospital  there were 4255 lab tests done yesterday a total of 271690 tests done  today sadly we announce another death related to covid 19 bringing this number to 22 deaths   ,real
use ozone to fight against the spread of corona virus ,fake
 the coronavirus has been discovered in poultry ,fake
mike ryan director of the who said isolation measures worsen the pandemic ,fake
as at 10 10 pm 4th april there are 214 confirmed cases 25 discharged 4 deaths for a breakdown of cases by states   lagos  109 fct  43 osun  20 oyo  9 akwa ibom  5 ogun  4 edo  7 kaduna  4 bauchi  6 enugu  2 ekiti  2 rivers 1 benue  1 ondo  1,real
new  cdcmmwr report on covid19 in singapore shows that some clusters of cases likely resulted from people without symptoms spreading illness  social distancing and avoiding crowds are key to slowing the spread of covid 19   ,real
a study found that americans trust the soft drink dr  pepper over white house coronavirus adviser dr  anthony fauci,fake
350 new cases of covid19  lagos 102 ogun 34 fct 29 borno 26 kaduna 23 rivers 21 ebonyi 17 kwara  16 katsina 14 edo 10 delta 10 kano 10 bauchi 10 bayelsa 9 imo 8 plateau 4 ondo 3 nasarawa 2 gombe 1 oyo 1 11516 cases of covid19 nigeria discharged  3535 deaths  323 ,real
here s your look at the number of new cases per million  louisiana has stopped reporting on saturdays so that s two days worth of cases  ,real
yesterday our laboratories completed 2419 tests  of those tests yesterday just under 2000 were in the community  that brings the total number of tests completed to date to 448786 ,real
cold weather will kill coronavirus  no wait  hot weather will kill corona  did you also fall for these contradictory hoaxes  don t fall the fake news  amp  misinformation  participate in our main bhi news checker initiative  amp  we will fight the infodemic together  coronavirus facts ,fake
  there are no additional deaths to report      there is no one in new zealand receiving hospital level care for covid 19      2 significant clusters from our earlier outbreak had also closed today  those are associated with the bluff wedding and the rosewood rest home ,real
there are few cases of covid19 reinfection reported across the world  however as novel coronavirus is a new virus research is ongoing on questions such as how long does it take for a person to get reinfected whether or not the subsequent infections are milder etc  ,real
nyt invented the video of a doctor fighting coronavirus in hospital ,fake
the rule of thumb  thumbs up  is that you re number one  index pointing up    if you re having friends and wh nau over to your home remember that your gatherings need to be kept small and are limited to 10 people   that s you and 9 others  for more information visit   ,real
pradhan mantri jeevan jyoti bima yojana pmjjby  and pradhan mantri suraksha bima yojana pmsby  will provide claims to covid 19 related deaths,fake
the total number of active cases in nz is 10  our total number of confirmed cases is now 1165 which is the number we report to the world health organisation  one significant cluster in nz remains open   the st  margaret s rest home in auckland ,real
 sometimes it s not a lack of resources that may lead to inefficiency but inability to connect the dots  to measure efficiency in covid19 testing we set a target to test 2000 samples per day in lagos  amp  1000 per day in abuja     chikwe i on  ait online ,real
elon musck to new baby  get a job kid   christmas covid19 elon musk a christmas carol,fake
rt  cdctravel  looking for covid19 risk in a certain destination  check out cdc s covid 19 travel recommendations for each country  https ,real
the federal police found thousands of reais inside the house of par  state health secretary  this money was supposed to go to covid 19 related equipment ,fake
our daily update is published  we ve now tracked more than 2 million tests up  137k from yesterday  note that we can only track tests that a state reports  and not all states report all tests  for details see   ,real
amid covid 19 pandemic mp government ordered houses locked from april 1 2020 ,fake
one case previously reported in kano has been transferred to jigawa state  therefore the total number of confirmed cases in kano is 36 as at the 19th of april 2020,real
flood hit areas pretend to have coronavirus in bid to get government s attention ,fake
